"id_all","id","id_original","year","month","date","ymonth","Headline","paper","wcount","us","chn","kor","nkor","Asahi","Yomiuri","jijistartdate","jijiymonth","prneg_us","prneg_chn","prneg_sko","prneg_nko","prpos_us","prpos_chn","prpos_sko","prpos_nko","train_us","train_chn","train_sko","train_nko","cdneg_us","cdneg_chn","cdneg_sko","cdneg_nko","cdpos_us","cdpos_chn","cdpos_sko","cdpos_nko","cdneg_us2","cdneg_chn2","cdneg_sko2","cdneg_nko2","cdpos_us2","cdpos_chn2","cdpos_sko2","cdpos_nko2","Both","Asahi_w","Yomiuri_w","Both_w"
85,47,54,1987,11,14,198711,"米軍駐留、原則賛成せず　中国総書記、日米安保で評価を“修正”／土井・趙会談 ","Y",1471,1,1,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,1471,817.222222222222
115,49,67,1987,11,16,198711,"膨大な資料基に新事実　日中・太平洋戦争の戦費調達＜解説＞","A",1084,0,1,0,0,1,0,7,198712,NA,0.25,NA,NA,NA,0,NA,NA,0,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0.444444444444444,1084,0,481.777777777778
117,51,69,1987,11,16,198711,"日中・太平洋戦争の戦費、インフレ利用し調達　日債銀が初解明","A",1614,0,1,0,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,1614,0,717.333333333333
122,71,81,1987,11,17,198711,"「光華寮」解決は竹下内閣で　トウ小平氏が強く要請　訪中の土井委員長と会談 ","Y",879,0,1,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,879,488.333333333333
207,90,128,1987,11,25,198711,"李鵬氏、首相代行に　中国","A",672,0,1,0,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,672,0,298.666666666667
392,183,251,1987,12,9,198712,"東芝機械の対中国契約分、７件の輸出許可　通産省","A",648,0,1,0,0,1,0,10,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,648,0,288
561,263,358,1987,12,22,198712,"対中改善は段階的に　盧泰愚氏が表明","A",231,0,1,1,0,1,0,10,198801,NA,0,NA,NA,NA,0,NA,NA,0,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0.444444444444444,231,0,102.666666666667
580,275,374,1987,12,23,198712,"中国との国交に意欲　韓国の盧・次期大統領語る","A",1544,0,1,1,0,1,0,10,198801,NA,0,NA,NA,NA,0.5,NA,NA,0,1,0,0,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,0.444444444444444,1544,0,686.222222222222
657,346,407,1987,12,30,198712,"中韓関係改善、中国側の意向打診へ　政府、１月の事務レベル協議で ","Y",525,0,1,1,0,0,1,10,198801,NA,NA,0,NA,NA,NA,0.25,NA,0,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.555555555555556,0,525,291.666666666667
679,358,422,1988,1,1,198801,"日・米・中が中国で乗用車共同生産　富士重、ＧＭ、第二汽車製造が合併方式で ","Y",1468,1,1,0,0,0,1,9,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,1468,815.555555555556
