,id_all,id,id_original,year,month,date,ymonth,Headline,paper,wcount,us,chn,kor,nkor,Asahi,Yomiuri,jijistartdate,jijiymonth,prneg_us,prneg_chn,prneg_sko,prneg_nko,prpos_us,prpos_chn,prpos_sko,prpos_nko,train_us,train_chn,train_sko,train_nko,cdneg_us,cdneg_chn,cdneg_sko,cdneg_nko,cdpos_us,cdpos_chn,cdpos_sko,cdpos_nko,cdneg_us2,cdneg_chn2,cdneg_sko2,cdneg_nko2,cdpos_us2,cdpos_chn2,cdpos_sko2,cdpos_nko2,Both,Asahi_w,Yomiuri_w,Both_w,logitpr_neg,rfpr_neg,logitpr_pos,rfpr_pos
0,85,47,54,1987,11,14,198711,米軍駐留、原則賛成せず　中国総書記、日米安保で評価を“修正”／土井・趙会談 ,Y,1471.0,1,1,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,1471.0,817.222222222,0.0580464182126,0.134284,0.0162981129953,0.0975266666667
1,115,49,67,1987,11,16,198711,膨大な資料基に新事実　日中・太平洋戦争の戦費調達＜解説＞,A,1084.0,0,1,0,0,1,0,7,198712,,0.25,,,,0.0,,,0,1,0,0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,0.444444444444,1084.0,0.0,481.777777778,0.0348314945424,0.027448,0.0748777628896,0.0480466666667
2,117,51,69,1987,11,16,198711,日中・太平洋戦争の戦費、インフレ利用し調達　日債銀が初解明,A,1614.0,0,1,0,0,1,0,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1614.0,0.0,717.333333333,0.0606078860058,0.06676,0.0826012405727,0.109193333333
3,122,71,81,1987,11,17,198711,「光華寮」解決は竹下内閣で　トウ小平氏が強く要請　訪中の土井委員長と会談 ,Y,879.0,0,1,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,879.0,488.333333333,0.00126586655522,0.066292,0.0397804614285,0.134166666667
4,207,90,128,1987,11,25,198711,李鵬氏、首相代行に　中国,A,672.0,0,1,0,0,1,0,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,672.0,0.0,298.666666667,0.0489687857407,0.021856,0.0586360184939,0.0358266666667
5,392,183,251,1987,12,9,198712,東芝機械の対中国契約分、７件の輸出許可　通産省,A,648.0,0,1,0,0,1,0,10,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,648.0,0.0,288.0,0.277910537396,0.13274,0.0493720273928,0.12196
6,561,263,358,1987,12,22,198712,対中改善は段階的に　盧泰愚氏が表明,A,231.0,0,1,1,0,1,0,10,198801,,0.0,,,,0.0,,,0,1,0,0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,0.444444444444,231.0,0.0,102.666666667,0.00715505623857,0.014956,0.0764584886284,0.119553333333
7,580,275,374,1987,12,23,198712,中国との国交に意欲　韓国の盧・次期大統領語る,A,1544.0,0,1,1,0,1,0,10,198801,,0.0,,,,0.5,,,0,1,0,0,,0.0,,,,1.0,,,,0.0,,,,1.0,,,0.444444444444,1544.0,0.0,686.222222222,0.0044912002063,0.001348,0.527289006583,0.63892
8,657,346,407,1987,12,30,198712,中韓関係改善、中国側の意向打診へ　政府、１月の事務レベル協議で ,Y,525.0,0,1,1,0,0,1,10,198801,,,0.0,,,,0.25,,0,0,1,0,,,0.0,,,,0.0,,,,0.0,,,,0.0,,0.555555555556,0.0,525.0,291.666666667,0.0393606349935,0.148312,0.280583267434,0.234373333333
9,679,358,422,1988,1,1,198801,日・米・中が中国で乗用車共同生産　富士重、ＧＭ、第二汽車製造が合併方式で ,Y,1468.0,1,1,0,0,0,1,9,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,1468.0,815.555555556,0.00127149915305,0.03118,0.0304963468672,0.0539666666667
10,733,384,454,1988,1,7,198801,中韓橋渡しで緊張緩和へ　両国の国交樹立をめざす　竹下首相が積極外交方針 ,Y,1411.0,0,1,1,0,0,1,9,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,1411.0,783.888888889,0.00427132410773,0.058828,0.197815767736,0.275553333333
11,772,369,504,1988,1,10,198801,ソ連漁船の修理、日中ソが民間協定　日本の商社が仲介,A,1089.0,0,1,0,0,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1089.0,0.0,484.0,0.0409181292409,0.056968,0.0678025015025,0.0889
12,777,408,483,1988,1,11,198801,日本のハイテク活用、日中軍事大国化も　米は局地戦略を重視／米国防総省報告 ,Y,943.0,1,1,0,0,0,1,9,198802,,0.25,,,,0.0,,,0,1,0,0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,0.555555555556,0.0,943.0,523.888888889,0.0197154882922,0.045804,0.0215052815122,0.0357733333333
13,809,385,528,1988,1,14,198801,中国のＴＶ、異例の速報　台湾の蒋経国総統死去,A,273.0,0,1,0,0,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,273.0,0.0,121.333333333,0.0902801162745,0.094032,0.0229717777811,0.0450533333333
