pm_name,ymonth,year_start,month_start,day_start,month_end,day_end,target_pop,respondent_pop,response_rate,pm_approval,pm_disapproval,pm_dkna,pm_trustscore,pmreason_pos_trustpm,pmreason_pos_noother,pmreason_pos_anyonesame,pmreason_pos_leadership,pmreason_pos_goodpolicy,pmreason_pos_goodimp,pmreason_pos_suppmpty,pmreason_pos_coalition,pmreason_pos_intuition,pmreason_neg_distrustpm,pmreason_neg_othergood,pmreason_neg_nohope,pmreason_neg_noleadership,pmreason_neg_badpolicy,pmreason_neg_badimp,pmreason_neg_supothpty,pmreason_neg_coalition,pmreason_neg_intuition,suppty_ldp,suppty_dpj,suppty_ishinnoto,suppty_komei,suppty_jcp,suppty_jisedai,suppty_jsp_sdp,suppty_seikatsu,suppty_nihongenki,suppty_npkaikaku,suppty_other,suppty_ishinnokai,suppty_minna,suppty_yuinoto,suppty_midori,suppty_kokuminshin,suppty_mirai,suppty_kokumindaiichi,suppty_daichi,suppty_npnihon,suppty_genzei,suppty_kidsuna,suppty_tachiagare,suppty_soshin,suppty_dsp,suppty_shinjiyuclub,suppty_shinshin,suppty_sakigake,suppty_taiyo,suppty_shinshakai,suppty_jiyu,suppty_heiwa,suppty_heiwa_komei,suppty_reimeiclub,suppty_npyuai,suppty_kokuminnokoe,suppty_kaikakuclub,suppty_minsei,suppty_jiyu_another,suppty_shinsei,suppty_npmirai,suppty_nihonshinto,suppty_shaminren,suppty_hoshu,suppty_hoshushin,suppty_unaff_cons,suppty_unaff_prog,suppty_unaff,suppty_dkna,lifepast_easy,lifepast_sweasy,lifepast_same,lifepast_swdifficult,lifepast_difficult,lifepast_dkna,pricepred_stable,pricepred_goup,pricepred_godown,pricepred_dkna,econpast_better,econpast_swbetter,econpast_same,econpast_swworse,econpast_worse,econpast_dkna,livingpred_better,livingpred_same,livingpred_worse,livingpred_dkna,likestate_us,likestate_ussr_rus,likestate_uk,likestate_france,likestate_germany,likestate_switzland,likestate_india,likestate_china,likestate_skorea,likestate_nkorea,likestate_dkna,dislikestate_us,dislikestate_ussr_rus,dislikestate_uk,dislikestate_france,dislikestate_germany,dislikestate_switzland,dislikestate_india,dislikestate_china,dislikestate_skorea,dislikestate_nkorea,dislikestate_dkna,imprel_us,imprel_canada,imprel_rus,imprel_cis,imprel_europe,imprel_india,imprel_china,imprel_taiwan,imprel_skorea,imprel_nkorea,imprel_seasia,imprel_csamerica,imprel_mneast,imprel_africa,imprel_oceania,imprel_dkna,prefside_west,prefside_east,prefside_neutral,prefside_dkna,agency,sampling,collect_mode,notes,imprel_opt_india
TAKESHITA Noboru,198711,1987,11,7,11,10,2000 ,1489 ,74.5%,37.5 ,21.5 ,41.0 ,16.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1 ,NA,NA,3.6 ,1.5 ,NA,11.0 ,NA,NA,NA,0.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2 ,4.8 ,34.8 ,3.2 ,0.3 ,5.4 ,64.5 ,25.3 ,3.8 ,0.7 ,28.9 ,56.6 ,2.1 ,12.4 ,0.1 ,10.1 ,58.9 ,20.7 ,2.5 ,7.7 ,11.9 ,57.6 ,22.0 ,8.5 ,39.8 ,0.8 ,28.3 ,27.5 ,15.7 ,39.2 ,1.9 ,21.7 ,2.8 ,0.4 ,29.1 ,6.6 ,50.1 ,1.0 ,1.8 ,4.2 ,0.3 ,5.0 ,4.2 ,18.3 ,35.9 ,39.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9 ,1.1 ,24.5 ,15.5 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198712,1987,12,10,12,13,2000 ,1422 ,71.1%,36.4 ,22.4 ,41.2 ,14.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7 ,NA,NA,4.0 ,1.5 ,NA,8.9 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6 ,3.7 ,36.1 ,3.4 ,0.2 ,4.6 ,67.5 ,22.9 ,3.7 ,1.1 ,33.3 ,51.9 ,3.1 ,11.7 ,0.4 ,11.6 ,58.6 ,20.0 ,2.2 ,7.2 ,9.6 ,51.8 ,29.9 ,8.7 ,41.0 ,0.8 ,28.4 ,27.2 ,14.6 ,38.7 ,2.5 ,18.1 ,1.5 ,0.1 ,29.9 ,6.1 ,49.3 ,1.3 ,1.0 ,4.1 ,0.1 ,3.5 ,5.1 ,20.0 ,38.5 ,39.5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8 ,1.4 ,23.7 ,18.2 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198801,1988,1,9,1,12,2000 ,1488 ,74.4%,39.7 ,24.5 ,35.8 ,15.2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8 ,NA,NA,4.1 ,1.2 ,NA,8.7 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7 ,3.6 ,34.0 ,4.4 ,0.4 ,5.3 ,68.5 ,21.5 ,2.9 ,1.3 ,29.4 ,55.6 ,3.5 ,11.5 ,0.3 ,12.6 ,57.3 ,18.3 ,1.6 ,9.8 ,8.0 ,51.3 ,31.7 ,8.9 ,40.7 ,1.3 ,27.9 ,23.6 ,17.9 ,35.8 ,2.8 ,22.7 ,3.1 ,0.3 ,29.7 ,5.6 ,50.8 ,1.5 ,0.9 ,5.1 ,0.5 ,4.0 ,6.0 ,16.2 ,40.1 ,38.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6 ,1.2 ,23.7 ,16.4 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198802,1988,2,6,2,9,2000 ,1467 ,73.4%,38.4 ,26.6 ,35.0 ,11.8 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2 ,NA,NA,4.2 ,2.0 ,NA,8.1 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7 ,5.2 ,33.3 ,4.1 ,0.1 ,5.5 ,66.1 ,24.2 ,3.3 ,0.8 ,32.5 ,54.2 ,3.7 ,9.5 ,0.4 ,12.7 ,59.6 ,18.4 ,1.9 ,7.0 ,8.4 ,48.7 ,33.2 ,9.6 ,42.7 ,1.2 ,28.2 ,26.1 ,17.5 ,38.7 ,3.4 ,19.7 ,2.5 ,0.1 ,27.1 ,6.1 ,48.1 ,1.0 ,1.2 ,4.8 ,0.4 ,4.7 ,5.1 ,17.2 ,55.7 ,31.6 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7 ,1.2 ,29.1 ,14.1 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198803,1988,3,10,3,13,2000 ,1442 ,72.1%,35.0 ,30.9 ,34.0 ,4.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9 ,NA,NA,4.1 ,1.3 ,NA,8.8 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4 ,5.5 ,36.5 ,4.2 ,0.2 ,5.7 ,66.7 ,22.8 ,4.0 ,0.6 ,30.8 ,55.3 ,4.1 ,9.8 ,0.7 ,13.9 ,61.4 ,15.3 ,2.1 ,6.7 ,8.4 ,46.3 ,36.4 ,8.9 ,40.4 ,1.5 ,26.6 ,26.1 ,14.8 ,38.3 ,2.0 ,22.2 ,3.7 ,0.2 ,28.5 ,5.1 ,47.3 ,1.0 ,1.4 ,5.5 ,0.2 ,4.8 ,4.0 ,14.8 ,51.5 ,35.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1 ,1.6 ,28.0 ,15.3 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198804,1988,4,10,4,12,2000 ,1500 ,75.0%,40.5 ,27.6 ,31.9 ,12.9 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2 ,NA,NA,4.9 ,1.5 ,NA,8.9 ,NA,NA,NA,0.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8 ,3.5 ,32.6 ,3.3 ,0.5 ,5.3 ,67.9 ,22.6 ,2.8 ,0.9 ,33.5 ,52.3 ,4.2 ,10.0 ,1.1 ,17.7 ,58.0 ,14.0 ,1.5 ,7.7 ,14.0 ,58.1 ,19.5 ,8.5 ,42.3 ,1.2 ,28.3 ,27.3 ,16.3 ,39.1 ,2.6 ,20.6 ,3.2 ,0.2 ,26.5 ,5.0 ,52.6 ,0.9 ,1.1 ,4.0 ,0.2 ,5.8 ,4.9 ,20.7 ,53.5 ,30.5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5 ,1.1 ,20.1 ,14.3 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198805,1988,5,7,5,10,2000 ,1474 ,73.7%,37.8 ,29.0 ,33.2 ,8.8 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.6 ,NA,NA,4.6 ,1.7 ,NA,9.4 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0 ,3.3 ,34.0 ,4.3 ,0.1 ,6.2 ,69.9 ,20.4 ,2.6 ,0.8 ,33.4 ,50.9 ,3.7 ,12.1 ,0.5 ,17.0 ,59.2 ,13.9 ,1.2 ,8.1 ,12.6 ,59.4 ,19.9 ,8.2 ,40.4 ,1.1 ,27.7 ,26.0 ,17.1 ,39.3 ,2.8 ,20.3 ,4.0 ,0.3 ,28.1 ,6.9 ,47.2 ,1.1 ,1.2 ,3.4 ,0.1 ,6.1 ,4.3 ,16.5 ,46.7 ,35.5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9 ,1.4 ,22.6 ,15.1 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198806,1988,6,10,6,13,2000 ,1490 ,74.5%,37.6 ,31.4 ,31.0 ,6.2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3 ,NA,NA,4.0 ,1.1 ,NA,9.3 ,NA,NA,NA,0.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4 ,4.6 ,37.7 ,3.6 ,0.1 ,5.5 ,68.1 ,22.0 ,3.4 ,0.9 ,34.5 ,53.0 ,3.0 ,9.5 ,1.2 ,16.6 ,58.7 ,13.0 ,1.2 ,9.4 ,15.0 ,55.6 ,20.8 ,8.6 ,38.5 ,1.2 ,27.7 ,29.0 ,16.7 ,37.2 ,2.5 ,16.8 ,2.1 ,0.3 ,30.0 ,5.6 ,43.5 ,1.1 ,0.9 ,3.8 ,0.1 ,5.0 ,4.2 ,16.5 ,46.6 ,38.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5 ,0.5 ,24.6 ,16.4 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198807,1988,7,9,7,12,2000 ,1432 ,71.6%,37.3 ,30.2 ,32.5 ,7.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7 ,NA,NA,3.8 ,1.5 ,NA,8.0 ,NA,NA,NA,0.1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0 ,4.3 ,38.0 ,3.8 ,0.3 ,5.4 ,69.7 ,21.1 ,2.3 ,1.2 ,32.8 ,52.6 ,2.7 ,11.9 ,1.4 ,17.8 ,59.5 ,9.4 ,1.0 ,10.9 ,12.2 ,59.6 ,18.8 ,9.5 ,40.6 ,1.0 ,27.5 ,26.4 ,15.2 ,37.5 ,3.2 ,19.3 ,3.1 ,0.3 ,28.8 ,5.8 ,46.4 ,0.8 ,0.3 ,3.8 ,0.1 ,4.3 ,4.0 ,13.5 ,45.5 ,38.2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9 ,0.9 ,22.9 ,15.4 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
TAKESHITA Noboru,198808,1988,8,6,8,9,2000 ,1409 ,70.5%,33.9 ,34.4 ,31.8 ,-0.5 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2 ,NA,NA,2.8 ,1.7 ,NA,9.4 ,NA,NA,NA,0.0 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3 ,4.0 ,38.3 ,3.9 ,0.1 ,6.0 ,69.7 ,19.6 ,3.2 ,1.4 ,30.7 ,56.7 ,1.6 ,11.0 ,1.6 ,18.2 ,57.6 ,11.8 ,1.0 ,9.8 ,15.5 ,57.5 ,19.8 ,7.2 ,39.5 ,1.0 ,26.4 ,24.9 ,16.5 ,36.2 ,1.5 ,21.1 ,3.2 ,0.4 ,29.0 ,7.5 ,45.1 ,1.8 ,1.5 ,3.3 ,0.1 ,4.1 ,4.0 ,15.6 ,44.9 ,37.9 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6 ,0.6 ,25.5 ,16.4 ,Jiji,Two Stage Stratified Random Sampling,Face-to-Face Interview,None,0 
