,id_all,id,id_original,year,month,date,ymonth,Headline,paper,wcount,us,chn,kor,nkor,Asahi,Yomiuri,jijistartdate,jijiymonth,prneg_us,prneg_chn,prneg_sko,prneg_nko,prpos_us,prpos_chn,prpos_sko,prpos_nko,train_us,train_chn,train_sko,train_nko,cdneg_us,cdneg_chn,cdneg_sko,cdneg_nko,cdpos_us,cdpos_chn,cdpos_sko,cdpos_nko,cdneg_us2,cdneg_chn2,cdneg_sko2,cdneg_nko2,cdpos_us2,cdpos_chn2,cdpos_sko2,cdpos_nko2,Both,Asahi_w,Yomiuri_w,Both_w,logitpr_neg,rfpr_neg,logitpr_pos,rfpr_pos
0,25,15,18,1987,11,10,198711,北朝鮮代表団来日取りやめ、漁業交渉延期 ,Y,313.0,0,0,0,1,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,313.0,173.888888889,0.354606456837,0.313716,0.0712161272467,0.159524
1,176,98,113,1987,11,22,198711,「境界線で北朝鮮発砲」哨兵１人が負傷と韓国発表 ,Y,383.0,0,0,1,1,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,383.0,212.777777778,0.630401127448,0.584948,0.0730578608168,0.114512
2,398,213,248,1987,12,10,198712,「蜂谷真一」は北朝鮮元在マレーシア大使館員の可能性／政府首脳 ,Y,803.0,0,0,0,1,0,1,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,803.0,446.111111111,0.588995220321,0.578848,0.0971908165968,0.173
3,402,217,252,1987,12,10,198712,大韓機事件　元館員関与説を全面的に否定／在マレーシア北朝鮮大使館 ,Y,144.0,0,0,0,1,0,1,10,198801,,,,0.75,,,,0.0,0,0,0,1,,,,1.0,,,,0.0,,,,1.0,,,,0.0,0.555555555556,0.0,144.0,80.0,0.83474689156,0.90008,0.01049532198,0.023012
4,408,190,260,1987,12,10,198712,大韓機事件の自殺男、北朝鮮の元大使館員　政府首脳「確度高い」,A,741.0,0,0,0,1,1,0,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,741.0,0.0,329.333333333,0.729453203847,0.716572,0.0330335057788,0.12378
5,484,224,305,1987,12,16,198712,「反共謀略に利用」　北朝鮮外務省が声明　大韓機事件,A,280.0,0,0,0,1,1,0,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,280.0,0.0,124.444444444,0.740292319137,0.807112,0.0438912296144,0.05318
6,596,314,368,1987,12,25,198712,第１８富士山丸船長・機関長　労働１５年の判決／北朝鮮 ,Y,841.0,0,0,0,1,0,1,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,841.0,467.222222222,0.563614866598,0.649732,0.0818210211338,0.115828
7,597,283,386,1987,12,25,198712,第１８富士山丸船長らの引き渡し、北朝鮮となお交渉　竹下首相,A,133.0,0,0,0,1,1,0,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,133.0,0.0,59.1111111111,0.418358742548,0.392224,0.0578562541337,0.140208
8,599,285,388,1987,12,25,198712,第１８富士山丸船長らに１５年の「教化労働刑」　北朝鮮で判決,A,729.0,0,0,0,1,1,0,10,198801,,,,0.5,,,,0.0,0,0,0,1,,,,1.0,,,,0.0,,,,1.0,,,,0.0,0.444444444444,729.0,0.0,324.0,0.577669669032,0.712076,0.0676894098045,0.041336
9,605,317,373,1987,12,26,198712,第１８富士山丸の判決　政府、北朝鮮へ非公式に家族の面会要請へ ,Y,305.0,0,0,0,1,0,1,10,198801,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,305.0,169.444444444,0.643351307441,0.600028,0.0312038143235,0.072824
10,785,411,488,1988,1,12,198801,ソウル五輪への参加問題、「北朝鮮自身が決めること」／ソ連五輪委員長語る ,Y,152.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,152.0,84.4444444444,0.513977108,0.480244,0.0574152067199,0.158572
11,815,425,505,1988,1,15,198801,大韓機事件の「真由美」は北朝鮮外交官の娘　２５歳の工作員「金」／治安筋 ,Y,1296.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,1296.0,720.0,0.657583904891,0.723812,0.0201557303293,0.05946
12,816,426,506,1988,1,15,198801,「蜂谷真由美」は北朝鮮高官の娘／ソウル新聞がトップ報道 ,Y,129.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,129.0,71.6666666667,0.565736111997,0.506508,0.0852756538818,0.168084
13,829,398,544,1988,1,15,198801,真由美ら「北」工作員　五輪妨害を計画　大韓機事件・今日発表,A,1528.0,0,0,0,1,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1528.0,0.0,679.111111111,0.79140690567,0.805412,0.0133592754513,0.0468
14,830,432,513,1988,1,16,198801,大韓機事件、五輪妨害狙い爆破　金正日書記が指令　韓国発表、真由美も記者会見 ,Y,2003.0,0,0,1,1,0,1,9,198802,,,,1.0,,,,0.0,0,0,0,1,,,,1.0,,,,0.0,,,,1.0,,,,0.0,0.555555555556,0.0,2003.0,1112.77777778,0.44839924883,0.696348,0.0262662854464,0.05346
15,831,433,514,1988,1,16,198801,大韓機事件で北朝鮮に謝罪を要求／韓国 ,Y,129.0,0,0,1,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,129.0,71.6666666667,0.754195145113,0.755764,0.0122099830009,0.031052
16,839,400,548,1988,1,16,198801,「大韓機事件の捜査結果は南のねつ造」　北朝鮮が非難,A,309.0,0,0,0,1,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,309.0,0.0,137.333333333,0.752511764046,0.797916,0.0264000490219,0.059968
17,840,401,549,1988,1,16,198801,北朝鮮に大韓機事件の謝罪要求　韓国声明,A,96.0,0,0,1,1,1,0,9,198802,,,0.0,,,,0.0,,0,0,1,0,,,0.0,,,,0.0,,,,0.0,,,,0.0,,0.444444444444,96.0,0.0,42.6666666667,0.768005122059,0.768508,0.0162987255824,0.03788
18,845,406,554,1988,1,16,198801,金賢姫（真由美）、爆破認める　金正日氏が指令　韓国が発表,A,1559.0,0,0,1,1,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1559.0,0.0,692.888888889,0.231540742526,0.346524,0.0794651113842,0.130924
19,846,440,522,1988,1,17,198801,韓国が「北」非難の外交攻勢　「接触緩和」を撤回／大韓機事件 ,Y,992.0,0,0,1,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,992.0,551.111111111,0.681229428489,0.740188,0.0393403038713,0.114508
20,847,441,523,1988,1,17,198801,大韓機事件　北朝鮮への制裁措置発動には慎重姿勢／外務省 ,Y,340.0,0,0,0,1,0,1,9,198802,,,,0.5,,,,0.0,0,0,0,1,,,,1.0,,,,0.0,,,,1.0,,,,0.0,0.555555555556,0.0,340.0,188.888888889,0.818149831036,0.840928,0.061344363795,0.096068
21,848,442,524,1988,1,17,198801,五輪南北会議受け入れない／韓国側見解 ,Y,130.0,0,0,1,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,130.0,72.2222222222,0.396570527652,0.336068,0.0511781731509,0.141464
22,854,407,557,1988,1,17,198801,対北朝鮮関係、米と緊密協議　政府筋語る,A,318.0,1,0,0,1,1,0,9,198802,,,,0.25,,,,0.0,0,0,0,1,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.444444444444,318.0,0.0,141.333333333,0.446902605076,0.281768,0.0681864296095,0.075576
23,858,411,562,1988,1,17,198801,韓国、「北」外交官との接触緩和を撤回　大韓機事件で制裁措置,A,899.0,0,0,1,1,1,0,9,198802,,,0.0,0.5,,,0.0,0.0,0,0,1,1,,,0.0,1.0,,,0.0,0.0,,,0.0,1.0,,,0.0,0.0,0.444444444444,899.0,0.0,399.555555556,0.77511429027,0.810468,0.0578661473487,0.112472
24,883,421,576,1988,1,19,198801,竹下首相、北朝鮮制裁には慎重な構え,A,296.0,0,0,0,1,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,296.0,0.0,131.555555556,0.619712631944,0.49258,0.0765157115799,0.150384
25,889,464,549,1988,1,20,198801,荻村氏、北朝鮮との会談をＩＯＣに報告 ,Y,346.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,346.0,192.222222222,0.377796345558,0.352952,0.0918676176405,0.124004
26,918,441,603,1988,1,22,198801,大韓航空機事件、日本も北朝鮮制裁へ　外交官接触制限も盛る,A,1123.0,0,0,0,1,1,0,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1123.0,0.0,499.111111111,0.808105057144,0.712684,0.00859461590092,0.077804
27,921,479,568,1988,1,23,198801,北朝鮮への渡航自粛を要請　大韓機事件で外務省 ,Y,252.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,252.0,140.0,0.710161401938,0.776824,0.0262032917815,0.051424
28,932,485,576,1988,1,24,198801,大韓機事件　北朝鮮制裁、厳しく７項目　テロ防止に日韓協力委　内容固まる ,Y,1041.0,0,0,1,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,1041.0,578.333333333,0.842435232414,0.73096,0.0134944322272,0.124064
29,935,488,579,1988,1,24,198801,北朝鮮制裁の存廃はソウル五輪終了後に検討／外務省筋 ,Y,239.0,0,0,0,1,0,1,9,198802,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,239.0,132.777777778,0.751964063715,0.64098,0.0444707821493,0.116856
