"id_all","id","id_original","year","month","date","ymonth","Headline","paper","wcount","us","chn","kor","nkor","Asahi","Yomiuri","jijistartdate","jijiymonth","prneg_us","prneg_chn","prneg_sko","prneg_nko","prpos_us","prpos_chn","prpos_sko","prpos_nko","train_us","train_chn","train_sko","train_nko","cdneg_us","cdneg_chn","cdneg_sko","cdneg_nko","cdpos_us","cdpos_chn","cdpos_sko","cdpos_nko","cdneg_us2","cdneg_chn2","cdneg_sko2","cdneg_nko2","cdpos_us2","cdpos_chn2","cdpos_sko2","cdpos_nko2","Both","Asahi_w","Yomiuri_w","Both_w"
25,15,18,1987,11,10,198711,"北朝鮮代表団来日取りやめ、漁業交渉延期 ","Y",313,0,0,0,1,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,313,173.888888888889
176,98,113,1987,11,22,198711,"「境界線で北朝鮮発砲」哨兵１人が負傷と韓国発表 ","Y",383,0,0,1,1,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,383,212.777777777778
398,213,248,1987,12,10,198712,"「蜂谷真一」は北朝鮮元在マレーシア大使館員の可能性／政府首脳 ","Y",803,0,0,0,1,0,1,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,803,446.111111111111
402,217,252,1987,12,10,198712,"大韓機事件　元館員関与説を全面的に否定／在マレーシア北朝鮮大使館 ","Y",144,0,0,0,1,0,1,10,198801,NA,NA,NA,0.75,NA,NA,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,0.555555555555556,0,144,80
408,190,260,1987,12,10,198712,"大韓機事件の自殺男、北朝鮮の元大使館員　政府首脳「確度高い」","A",741,0,0,0,1,1,0,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,741,0,329.333333333333
484,224,305,1987,12,16,198712,"「反共謀略に利用」　北朝鮮外務省が声明　大韓機事件","A",280,0,0,0,1,1,0,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,280,0,124.444444444444
596,314,368,1987,12,25,198712,"第１８富士山丸船長・機関長　労働１５年の判決／北朝鮮 ","Y",841,0,0,0,1,0,1,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,841,467.222222222222
597,283,386,1987,12,25,198712,"第１８富士山丸船長らの引き渡し、北朝鮮となお交渉　竹下首相","A",133,0,0,0,1,1,0,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,133,0,59.1111111111111
599,285,388,1987,12,25,198712,"第１８富士山丸船長らに１５年の「教化労働刑」　北朝鮮で判決","A",729,0,0,0,1,1,0,10,198801,NA,NA,NA,0.5,NA,NA,NA,0,0,0,0,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,0.444444444444444,729,0,324
605,317,373,1987,12,26,198712,"第１８富士山丸の判決　政府、北朝鮮へ非公式に家族の面会要請へ ","Y",305,0,0,0,1,0,1,10,198801,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,305,169.444444444444
785,411,488,1988,1,12,198801,"ソウル五輪への参加問題、「北朝鮮自身が決めること」／ソ連五輪委員長語る ","Y",152,0,0,0,1,0,1,9,198802,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,152,84.4444444444444
