"id_all","id","id_original","year","month","date","ymonth","Headline","paper","wcount","us","chn","kor","nkor","Asahi","Yomiuri","jijistartdate","jijiymonth","prneg_us","prneg_chn","prneg_sko","prneg_nko","prpos_us","prpos_chn","prpos_sko","prpos_nko","train_us","train_chn","train_sko","train_nko","cdneg_us","cdneg_chn","cdneg_sko","cdneg_nko","cdpos_us","cdpos_chn","cdpos_sko","cdpos_nko","cdneg_us2","cdneg_chn2","cdneg_sko2","cdneg_nko2","cdpos_us2","cdpos_chn2","cdpos_sko2","cdpos_nko2","Both","Asahi_w","Yomiuri_w","Both_w"
104,44,60,1987,11,15,198711,"議員の訪韓、自由化の方向　社会党の基本政策論議","A",578,0,0,1,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,578,0,256.888888888889
112,65,74,1987,11,16,198711,"韓国大統領選、きょう１５日公示　１２月１６日投票　「一盧三金」の争いに ","Y",1128,0,0,1,0,0,1,7,198712,NA,NA,0,NA,NA,NA,0,NA,0,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.555555555555556,0,1128,626.666666666667
176,98,113,1987,11,22,198711,"「境界線で北朝鮮発砲」哨兵１人が負傷と韓国発表 ","Y",383,0,0,1,1,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,383,212.777777777778
210,93,131,1987,11,25,198711,"日本赤軍幹部の丸岡逮捕　「韓国で行動」準備？","A",1828,0,0,1,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,1828,0,812.444444444444
285,158,184,1987,12,2,198712,"「服毒の男女が重大関連」　大韓機事故で韓国の崔洸洙外相語る ","Y",206,0,0,1,0,0,1,10,198712,NA,NA,0.5,NA,NA,NA,0,NA,0,0,1,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,0.555555555555556,0,206,114.444444444444
297,163,190,1987,12,3,198712,"大韓機旅券偽造で宮本の周辺を強制捜査へ　韓国籍「高」と断定／警視庁 ","Y",1120,0,0,1,0,0,1,10,198712,NA,NA,0.75,NA,NA,NA,0,NA,0,0,1,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,0.555555555555556,0,1120,622.222222222222
302,168,195,1987,12,3,198712,"大韓機事故　偽造旅券所持の女性の身柄引き渡し、韓国が交渉へ ","Y",221,0,0,1,0,0,1,10,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,221,122.777777777778
313,142,198,1987,12,3,198712,"大韓機事件、自殺男は「宮本」と別人か？　女性は韓国籍","A",1298,0,0,1,0,1,0,10,198712,NA,NA,0.25,NA,NA,NA,0,NA,0,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.444444444444444,1298,0,576.888888888889
314,172,200,1987,12,4,198712,"大韓機事件の「真由美」　偽造免許証も持つ　渡韓歴ある福岡県在住の女性名義 ","Y",1325,0,0,1,0,0,1,10,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,1325,736.111111111111
341,183,213,1987,12,6,198712,"大韓機事件、「真由美」を韓国に移送へ　一両日中の公算／バーレン当局 ","Y",681,0,0,1,0,0,1,10,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,681,378.333333333333
351,160,220,1987,12,6,198712,"韓国政府、「真由美」の身柄引き渡しを公式要請へ　大韓機事件","A",140,0,0,1,0,1,0,10,198712,NA,NA,0,NA,NA,NA,0,NA,0,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.444444444444444,140,0,62.2222222222222
354,163,225,1987,12,6,198712,"日韓の捜査当局、「蜂谷真一」らの所持品２００点を分析へ","A",475,0,0,1,0,1,0,10,198712,NA,NA,0,NA,NA,NA,0,NA,0,0,1,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0.444444444444444,475,0,211.111111111111
355,164,226,1987,12,6,198712,"大韓機事件、服毒女性を聴取　日韓当局者が担当　病院外へ移送","A",491,0,0,1,0,1,0,10,198712,NA,NA,0.75,NA,NA,NA,0,NA,0,0,1,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,0.444444444444444,491,0,218.222222222222
