ymonth,us_export,us_import,chn_export,chn_import,skor_export,skor_import,nkor_export,nkor_import,rus_export,rus_import,eu_export,eu_import,asean_export,asean_import,msame_export,msame_import,meast_export,meast_import,turkey_export,turkey_import,africa_export,africa_import,oceania_export,oceania_import,india_export,india_import,taiwan_export,taiwan_import,gdp_original,gdp_tradefit,gdp_05std,gdp_tani,population,pop_tani,gdpcap_05std,nikkei_start,nikkei_high,nikkei_low,nikkei_end,,,,,,,
198711,970490814.000 ,389148826.000 ,103411857.000 ,98818024.000 ,147163628.000 ,117628729.000 ,2531156.000 ,3250813.000 ,28508965.000 ,33991411.000 ,401794598.000 ,247854292.000 ,200801325.000 ,272642520.000 ,99326407.000 ,74436404.000 ,85488089.000 ,264609269.000 ,3245082.000 ,1511491.000 ,54510497.000 ,54169555.000 ,72446111.000 ,118220082.000 ,NA,NA,137395081.000 ,96119876.000 ,101555.500 ,1000000.000 ,368754.300 ,1000000000,122275.000 ,1000,3015778.368 ,23358.600 ,23358.600 ,21036.760 ,22686.780 ,,,,,,,
198712,1060463936.000 ,411435740.000 ,130751264.000 ,96980543.000 ,176515511.000 ,121435298.000 ,4600443.000 ,3830238.000 ,35667168.000 ,27934868.000 ,498395466.000 ,245006696.000 ,234110695.000 ,262835929.000 ,117534053.000 ,85415830.000 ,116007733.000 ,250254032.000 ,6281514.000 ,1902985.000 ,87353478.000 ,45656052.000 ,87818869.000 ,129766612.000 ,NA,NA,166214123.000 ,91701860.000 ,101555.500 ,1000000.000 ,368754.300 ,1000000000,122342.000 ,1000,3014126.792 ,22832.890 ,23280.840 ,21533.440 ,21564.000 ,,,,,,,
198801,738613800.000 ,362683126.000 ,66302667.000 ,97170580.000 ,120237924.000 ,102289569.000 ,1102731.000 ,3581503.000 ,22140104.000 ,24207475.000 ,434518336.000 ,204997656.000 ,160193192.000 ,246597198.000 ,74740853.000 ,78755500.000 ,74413826.000 ,240514712.000 ,3838865.000 ,2100698.000 ,47086710.000 ,40078789.000 ,62327482.000 ,130502025.000 ,NA,NA,114985615.000 ,78629100.000 ,90484.700 ,1000000.000 ,377068.600 ,1000000000,122277.000 ,1000,3083724.658 ,21217.040 ,23719.130 ,21217.040 ,23719.130 ,,,,,,,
198802,876848536.000 ,440130798.000 ,83253376.000 ,88181115.000 ,150377067.000 ,108351431.000 ,2446522.000 ,3537335.000 ,29181929.000 ,42217878.000 ,487757719.000 ,236358679.000 ,204861604.000 ,228184748.000 ,91565021.000 ,78591066.000 ,91598733.000 ,250230483.000 ,4559697.000 ,2805431.000 ,56695909.000 ,42932856.000 ,74273364.000 ,111372124.000 ,NA,NA,129389245.000 ,86725489.000 ,90484.700 ,1000000.000 ,377068.600 ,1000000000,122403.000 ,1000,3080550.313 ,23732.320 ,25284.870 ,23595.370 ,25242.810 ,,,,,,,
198803,925278815.000 ,487668073.000 ,96482057.000 ,89448401.000 ,169569282.000 ,105816654.000 ,3265155.000 ,3128023.000 ,35582565.000 ,25531750.000 ,523296047.000 ,275143050.000 ,228573364.000 ,240499730.000 ,124343410.000 ,80913197.000 ,101826210.000 ,214369845.000 ,6109848.000 ,2337491.000 ,89503560.000 ,47873414.000 ,83516128.000 ,123280732.000 ,NA,NA,156885376.000 ,79857725.000 ,90484.700 ,1000000.000 ,377068.600 ,1000000000,122355.000 ,1000,3081758.817 ,25435.900 ,26320.070 ,25320.720 ,26260.260 ,,,,,,,
198804,924412721.000 ,404892299.000 ,100601775.000 ,106262925.000 ,173761603.000 ,127234705.000 ,4424356.000 ,3402140.000 ,32796400.000 ,28292466.000 ,524975968.000 ,235683344.000 ,211995783.000 ,249917307.000 ,99638437.000 ,99206661.000 ,87441162.000 ,204309087.000 ,6890702.000 ,2892393.000 ,70208215.000 ,62932396.000 ,79188489.000 ,123792915.000 ,NA,NA,150326038.000 ,97927589.000 ,91176.000 ,1000000.000 ,377537.700 ,1000000000,122427.000 ,1000,3083778.088 ,26104.220 ,27509.540 ,26104.220 ,27509.540 ,,,,,,,
198805,861720496.000 ,437826521.000 ,80933967.000 ,100976584.000 ,149266658.000 ,110324691.000 ,2889756.000 ,4629647.000 ,37047111.000 ,23762323.000 ,480031754.000 ,256622247.000 ,205037702.000 ,224331524.000 ,84932053.000 ,79106890.000 ,80894549.000 ,198830055.000 ,3806082.000 ,3478928.000 ,56226902.000 ,46415374.000 ,77613660.000 ,132769204.000 ,NA,NA,135481923.000 ,96573625.000 ,91176.000 ,1000000.000 ,377537.700 ,1000000000,122407.000 ,1000,3084281.945 ,27669.720 ,27819.980 ,26962.500 ,27416.700 ,,,,,,,
198806,920343462.000 ,466663959.000 ,89884575.000 ,98006238.000 ,163340253.000 ,118498039.000 ,2154992.000 ,3826866.000 ,40963200.000 ,26253075.000 ,494724589.000 ,269897715.000 ,226359212.000 ,233113177.000 ,86421753.000 ,90694017.000 ,81524712.000 ,214073859.000 ,5240559.000 ,3592335.000 ,66378104.000 ,48777047.000 ,86471500.000 ,136229881.000 ,NA,NA,152348274.000 ,93328490.000 ,91176.000 ,1000000.000 ,377537.700 ,1000000000,122552.000 ,1000,3080632.711 ,27703.910 ,28342.460 ,27398.090 ,27769.400 ,,,,,,,
198807,1045307310.000 ,456096432.000 ,108749621.000 ,114234193.000 ,173987582.000 ,123483635.000 ,2863120.000 ,3777856.000 ,36008903.000 ,29998681.000 ,542199214.000 ,284244201.000 ,238637559.000 ,265533495.000 ,116101235.000 ,97641544.000 ,74070802.000 ,233609917.000 ,3596311.000 ,1910993.000 ,77134819.000 ,42083628.000 ,96877553.000 ,125910067.000 ,NA,NA,163295995.000 ,92547395.000 ,95569.700 ,1000000.000 ,385157.600 ,1000000000,122578.000 ,1000,3142142.962 ,27503.530 ,28199.940 ,27149.030 ,28199.940 ,,,,,,,
198808,929518820.000 ,497479959.000 ,98365206.000 ,115544940.000 ,174264597.000 ,138803992.000 ,2796522.000 ,2571177.000 ,47226977.000 ,29390453.000 ,478629371.000 ,276956269.000 ,230193987.000 ,239618510.000 ,98753951.000 ,100818018.000 ,70990803.000 ,180332959.000 ,4955075.000 ,3003165.000 ,67630603.000 ,44726333.000 ,89902249.000 ,147627688.000 ,NA,NA,157103533.000 ,99389749.000 ,95569.700 ,1000000.000 ,385157.600 ,1000000000,122513.000 ,1000,3143810.045 ,28326.310 ,28423.380 ,27365.950 ,27365.950 ,,,,,,,
198809,1088602974.000 ,464277213.000 ,111568589.000 ,114710078.000 ,178227959.000 ,155539888.000 ,2302485.000 ,4821263.000 ,33803372.000 ,40277037.000 ,523931871.000 ,254218240.000 ,264766795.000 ,239270845.000 ,95593544.000 ,97233321.000 ,87472490.000 ,170472915.000 ,4846920.000 ,1240778.000 ,72500176.000 ,46776948.000 ,102651375.000 ,149016987.000 ,NA,NA,172689539.000 ,99477141.000 ,95569.700 ,1000000.000 ,385157.600 ,1000000000,122651.000 ,1000,3140272.807 ,26934.260 ,27923.670 ,26934.260 ,27923.670 ,,,,,,,
198810,1102804841.000 ,468097335.000 ,128217834.000 ,124646461.000 ,168681791.000 ,148729581.000 ,2107735.000 ,2838053.000 ,28824600.000 ,31317146.000 ,509530659.000 ,241949470.000 ,257989812.000 ,236459810.000 ,107051077.000 ,101806120.000 ,83974201.000 ,178410168.000 ,4855464.000 ,5088675.000 ,61499492.000 ,40116093.000 ,104826613.000 ,162752640.000 ,NA,NA,168171085.000 ,101142077.000 ,107715.100 ,1000000.000 ,389483.000 ,1000000000,122745.000 ,1000,3173106.848 ,27700.130 ,27982.540 ,27141.980 ,27982.540 ,,,,,,,
198811,1010242245.000 ,455946884.000 ,117504293.000 ,109737629.000 ,162649787.000 ,143951935.000 ,2107964.000 ,2561129.000 ,32545910.000 ,27258173.000 ,468090272.000 ,277266141.000 ,236287407.000 ,231586883.000 ,90383176.000 ,84891281.000 ,78266944.000 ,182926262.000 ,4584232.000 ,4520317.000 ,56231534.000 ,44617041.000 ,100709731.000 ,141290194.000 ,NA,NA,154327336.000 ,95283044.000 ,107715.100 ,1000000.000 ,389483.000 ,1000000000,122806.000 ,1000,3171530.707 ,28013.670 ,29578.900 ,27866.360 ,29578.900 ,,,,,,,
