"id_all","id","id_original","year","month","date","ymonth","Headline","paper","wcount","us","chn","kor","nkor","Asahi","Yomiuri","jijistartdate","jijiymonth","prneg_us","prneg_chn","prneg_sko","prneg_nko","prpos_us","prpos_chn","prpos_sko","prpos_nko","train_us","train_chn","train_sko","train_nko","cdneg_us","cdneg_chn","cdneg_sko","cdneg_nko","cdpos_us","cdpos_chn","cdpos_sko","cdpos_nko","cdneg_us2","cdneg_chn2","cdneg_sko2","cdneg_nko2","cdpos_us2","cdpos_chn2","cdpos_sko2","cdpos_nko2","Both","Asahi_w","Yomiuri_w","Both_w"
8,2,4,1987,11,7,198711,"米国務次官補、懸案協議へあす来日","A",426,1,0,0,0,1,0,7,198712,0,NA,NA,NA,0,NA,NA,NA,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.444444444444444,426,0,189.333333333333
12,6,8,1987,11,7,198711,"米英市場、１３５円台","A",601,1,0,0,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,601,0,267.111111111111
38,22,26,1987,11,11,198711,"１０日のニューヨーク外為、レーガン発言でドル買い戻しの動き ","Y",432,1,0,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,432,240
40,24,28,1987,11,11,198711,"１０日のロンドン外為、レーガン発言でドルが反騰 ","Y",74,1,0,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,74,41.1111111111111
41,25,29,1987,11,11,198711,"これ以上のドル安を望まぬ／レーガン大統領発言 ","Y",200,1,0,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,200,111.111111111111
46,17,23,1987,11,11,198711,"米国務次官補、竹下首相に内需拡大を改めて要請","A",644,1,0,0,0,1,0,7,198712,0.25,NA,NA,NA,0,NA,NA,NA,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.444444444444444,644,0,286.222222222222
48,19,25,1987,11,11,198711,"ロンドン円相場、米大統領発言で午後から反騰","A",98,1,0,0,0,1,0,7,198712,0.25,NA,NA,NA,0,NA,NA,NA,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0.444444444444444,98,0,43.5555555555556
50,21,27,1987,11,11,198711,"「これ以上のドル安望まぬ」　米大統領表明","A",206,1,0,0,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,206,0,91.5555555555556
61,37,42,1987,11,12,198711,"竹下訪米は１月中旬　外務省首脳が見通し ","Y",251,1,0,0,0,0,1,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0,251,139.444444444444
67,29,39,1987,11,12,198711,"ＩＮＦの３大争点、「首脳会談までに解決」　米軍縮局長が表明","A",1146,1,0,0,0,1,0,7,198712,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,1146,0,509.333333333333
