,id_all,id,id_original,year,month,date,ymonth,Headline,paper,wcount,us,chn,kor,nkor,Asahi,Yomiuri,jijistartdate,jijiymonth,prneg_us,prneg_chn,prneg_sko,prneg_nko,prpos_us,prpos_chn,prpos_sko,prpos_nko,train_us,train_chn,train_sko,train_nko,cdneg_us,cdneg_chn,cdneg_sko,cdneg_nko,cdpos_us,cdpos_chn,cdpos_sko,cdpos_nko,cdneg_us2,cdneg_chn2,cdneg_sko2,cdneg_nko2,cdpos_us2,cdpos_chn2,cdpos_sko2,cdpos_nko2,Both,Asahi_w,Yomiuri_w,Both_w,logitpr_neg,rfpr_neg,logitpr_pos,rfpr_pos
0,8,2,4,1987,11,7,198711,米国務次官補、懸案協議へあす来日,A,426.0,1,0,0,0,1,0,7,198712,0.0,,,,0.0,,,,1,0,0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.444444444444,426.0,0.0,189.333333333,0.061820645313,0.0488,0.136841893498,0.044972
1,12,6,8,1987,11,7,198711,米英市場、１３５円台,A,601.0,1,0,0,0,1,0,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,601.0,0.0,267.111111111,0.266043138631,0.19922,0.134844260574,0.04486
2,38,22,26,1987,11,11,198711,１０日のニューヨーク外為、レーガン発言でドル買い戻しの動き ,Y,432.0,1,0,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,432.0,240.0,0.183068685149,0.208513333333,0.13437927863,0.07652
3,40,24,28,1987,11,11,198711,１０日のロンドン外為、レーガン発言でドルが反騰 ,Y,74.0,1,0,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,74.0,41.1111111111,0.148902490338,0.18046,0.134378622724,0.076388
4,41,25,29,1987,11,11,198711,これ以上のドル安を望まぬ／レーガン大統領発言 ,Y,200.0,1,0,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,200.0,111.111111111,0.330015777248,0.322026666667,0.134353078344,0.067248
5,46,17,23,1987,11,11,198711,米国務次官補、竹下首相に内需拡大を改めて要請,A,644.0,1,0,0,0,1,0,7,198712,0.25,,,,0.0,,,,1,0,0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.444444444444,644.0,0.0,286.222222222,0.0274779230543,0.0323,0.136201118675,0.033696
6,48,19,25,1987,11,11,198711,ロンドン円相場、米大統領発言で午後から反騰,A,98.0,1,0,0,0,1,0,7,198712,0.25,,,,0.0,,,,1,0,0,0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.444444444444,98.0,0.0,43.5555555556,0.059254880862,0.0422733333333,0.137087624489,0.032052
7,50,21,27,1987,11,11,198711,「これ以上のドル安望まぬ」　米大統領表明,A,206.0,1,0,0,0,1,0,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,206.0,0.0,91.5555555556,0.277051776592,0.210166666667,0.137353931992,0.079036
8,61,37,42,1987,11,12,198711,竹下訪米は１月中旬　外務省首脳が見通し ,Y,251.0,1,0,0,0,0,1,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.555555555556,0.0,251.0,139.444444444,0.0754093626785,0.130073333333,0.135596690457,0.153368
9,67,29,39,1987,11,12,198711,ＩＮＦの３大争点、「首脳会談までに解決」　米軍縮局長が表明,A,1146.0,1,0,0,0,1,0,7,198712,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.444444444444,1146.0,0.0,509.333333333,0.189233216437,0.217973333333,0.137441488429,0.243828
